"algo","mean","sd","weight"
"CTA",0.885,0,0.121488751994784
"GBM",0.9531875,0.0117712573669935,0.130849220103986
"GLM",0.885,0,0.121488751994784
"MARS",0.885,0,0.121488751994784
"MAXENT",0.885,0,0.121488751994784
"MAXNET",0.91525,0.00862940708662344,0.125641333630763
"RF",0.9619375,0.00214378947971421,0.132050380081336
"XGBOOST",0.91425,0.03490654188926,0.125504058204781
