"expl.name","expl.val","avg_pred_val","std_dev_pred_val"
"Bio18",0,0.00286507636521994,0.000825467718030498
"Bio18",23.4242424242424,0.00398455636205473,0.00107557234461357
"Bio18",46.8484848484849,0.00554087151622934,0.00139507608369446
"Bio18",70.2727272727273,0.00770294763384041,0.00179983851024518
"Bio18",93.6969696969697,0.0107032159300505,0.00230743845916226
"Bio18",117.121212121212,0.0148596432018977,0.00293618039436253
"Bio18",140.545454545455,0.020603626250694,0.00370330077198673
"Bio18",163.969696969697,0.0285135779717895,0.00462226158508437
"Bio18",187.393939393939,0.0393520041913561,0.00569946654824728
"Bio18",210.818181818182,0.0540998397026081,0.0069318748174252
"Bio18",234.242424242424,0.0739747914061222,0.00830922879067723
"Bio18",257.666666666667,0.100409957008973,0.00982764715197813
"Bio18",281.090909090909,0.134956888590663,0.0115214776833515
"Bio18",304.515151515152,0.179070974895756,0.0135059220686915
"Bio18",327.939393939394,0.233752654792669,0.0159810514683733
"Bio18",351.363636363636,0.299076511701093,0.0191155412374951
"Bio18",374.787878787879,0.373506798144365,0.0227859894435046
"Bio18",398.212121212121,0.428463333190787,0.0174291004580465
"Bio18",421.636363636364,0.468472316247948,0.00918820212606888
"Bio18",445.060606060606,0.474797563996374,0.00913829051582383
"Bio18",468.484848484848,0.471603525788306,0.00918404826895668
"Bio18",491.909090909091,0.468411987172345,0.00930647779666876
"Bio18",515.333333333333,0.465223259783809,0.00950219514466392
"Bio18",538.757575757576,0.462037654020514,0.00976631541750444
"Bio18",562.181818181818,0.458855478901786,0.0100929384235001
"Bio18",585.606060606061,0.455677041928922,0.0104756433906872
"Bio18",609.030303030303,0.452502648947246,0.0109079153776564
"Bio18",632.454545454545,0.44933260400989,0.0113834641874126
"Bio18",655.878787878788,0.446167209243452,0.0118964306492457
"Bio18",679.30303030303,0.443006764715665,0.0124414963617242
"Bio18",702.727272727273,0.439851568305201,0.0130139213821704
"Bio18",726.151515151515,0.43670191557374,0.0136095340672401
"Bio18",749.575757575758,0.433558099640432,0.0142246928174224
"Bio18",773,0.430420411058868,0.0148562339934105
"Bio18",796.424242424242,0.427289137696672,0.0155014153741849
"Bio18",819.848484848485,0.424164564617827,0.0161578607758453
"Bio18",843.272727272727,0.421046973967833,0.0168235088464863
"Bio18",866.69696969697,0.417936644861811,0.0174965673760181
"Bio18",890.121212121212,0.414833853275623,0.0181754734527954
"Bio18",913.545454545455,0.411981774503941,0.0187572488846779
"Bio18",936.969696969697,0.409702628779993,0.0191946200984094
"Bio18",960.393939393939,0.407429460574928,0.0197306470112867
"Bio18",983.818181818182,0.407020433708815,0.0197102482180658
"Bio18",1007.24242424242,0.407112578894505,0.0195323096152481
"Bio18",1030.66666666667,0.407204922848773,0.0193628580052152
"Bio18",1054.09090909091,0.407297461836871,0.0192022122222362
"Bio18",1077.51515151515,0.407390192078123,0.0190506882867894
"Bio18",1100.93939393939,0.40748310974653,0.0189085977429242
"Bio18",1124.36363636364,0.407576210971388,0.0187762458935456
"Bio18",1147.78787878788,0.407669491837938,0.0186539299494264
"Bio18",1171.21212121212,0.407762948388018,0.0185419371115787
"Bio18",1194.63636363636,0.407856576620753,0.0184405426103554
"Bio18",1218.06060606061,0.40795037249325,0.0183500077281395
"Bio18",1241.48484848485,0.408044331921318,0.0182705778355201
"Bio18",1264.90909090909,0.408138450780203,0.0182024804732777
"Bio18",1288.33333333333,0.408179356324402,0.0181754067068319
"Bio18",1311.75757575758,0.408176867147087,0.0181749284618757
"Bio18",1335.18181818182,0.408174348298089,0.01817445919249
"Bio18",1358.60606060606,0.408171799780132,0.0181739990750583
"Bio18",1382.0303030303,0.408169221595992,0.0181735482891219
"Bio18",1405.45454545455,0.408166613748492,0.0181731070173764
"Bio18",1428.87878787879,0.408163976240508,0.0181726754456704
"Bio18",1452.30303030303,0.408161309074966,0.0181722537630024
"Bio18",1475.72727272727,0.40815861225484,0.0181718421615189
"Bio18",1499.15151515152,0.408155885783158,0.0181714408365111
"Bio18",1522.57575757576,0.408153129662996,0.0181710499864131
"Bio18",1546,0.408150343897482,0.0181706698127985
"Bio18",1569.42424242424,0.408147528489794,0.0181703005203778
"Bio18",1592.84848484848,0.408144683443162,0.0181699423169957
"Bio18",1616.27272727273,0.408141808760866,0.0181695954136279
"Bio18",1639.69696969697,0.408138904446238,0.018169260024378
"Bio18",1663.12121212121,0.40813597050266,0.0181689363664748
"Bio18",1686.54545454545,0.408133006933566,0.0181686246602682
"Bio18",1709.9696969697,0.408130013742443,0.0181683251292268
"Bio18",1733.39393939394,0.40812727668219,0.0181682327280967
"Bio18",1756.81818181818,0.408125297059105,0.0181689800700196
"Bio18",1780.24242424242,0.408123341924457,0.0181697976370664
"Bio18",1803.66666666667,0.408121362712565,0.0181706311185551
"Bio18",1827.09090909091,0.408119359427024,0.0181714807454052
"Bio18",1850.51515151515,0.408117332071478,0.0181723467514437
"Bio18",1873.93939393939,0.408115280649621,0.0181732293733998
"Bio18",1897.36363636364,0.408113205165196,0.0181741288508999
"Bio18",1920.78787878788,0.408111105622001,0.0181750454264619
"Bio18",1944.21212121212,0.408108982023881,0.0181759793454897
"Bio18",1967.63636363636,0.408106834374733,0.0181769308562678
"Bio18",1991.06060606061,0.408104662678505,0.0181779002099553
"Bio18",2014.48484848485,0.408102571481762,0.0181788378539025
"Bio18",2037.90909090909,0.408100482190076,0.0181797814981643
"Bio18",2061.33333333333,0.408098368863008,0.0181807437645509
"Bio18",2084.75757575758,0.408096231504709,0.0181817249163882
"Bio18",2108.18181818182,0.408094070119386,0.0181827252198497
"Bio18",2131.60606060606,0.408091884711296,0.0181837449439502
"Bio18",2155.0303030303,0.408089675284748,0.0181847843605396
"Bio18",2178.45454545455,0.408087441844104,0.0181858437442957
"Bio18",2201.87878787879,0.408085184393778,0.018186923372718
"Bio18",2225.30303030303,0.408082902938235,0.0181880235261206
"Bio18",2248.72727272727,0.408080597481995,0.0181891444876254
"Bio18",2272.15151515152,0.40807826802963,0.0181902865431548
"Bio18",2295.57575757576,0.408075914585764,0.0181914499814243
"Bio18",2319,0.408073537155074,0.0181926350939359
"Bio6",-67.3940048217773,0.0591349823181403,0.0198191983050785
"Bio6",-66.4890451720267,0.06126304574503,0.0204849877197659
"Bio6",-65.584085522276,0.0639523826399859,0.021063715975877
"Bio6",-64.6791258725253,0.0667526866448179,0.0216538719655245
"Bio6",-63.7741662227746,0.0696678352279354,0.0222553517761004
"Bio6",-62.8692065730239,0.0727017753955259,0.0228680237568439
"Bio6",-61.9642469232733,0.0758585183785267,0.0234917268703351
"Bio6",-61.0592872735226,0.0791421335508085,0.0241262690270905
"Bio6",-60.1543276237719,0.0825567415298564,0.0247714254126409
"Bio6",-59.2493679740212,0.0861065064115973,0.0254269368178768
"Bio6",-58.3444083242705,0.0897956270919413,0.0260925079849359
"Bio6",-57.4394486745199,0.0936283276291593,0.0267678059824797
"Bio6",-56.5344890247692,0.0976088466034769,0.0274524586258382
"Bio6",-55.6295293750185,0.101741425433323,0.0281460529591733
"Bio6",-54.7245697252678,0.1060302956116,0.0288481338185042
"Bio6",-53.8196100755171,0.110479664830226,0.0295582024961042
"Bio6",-52.9146504257665,0.115093701967141,0.0302757155283964
"Bio6",-52.0096907760158,0.119606092219922,0.030911295148686
"Bio6",-51.1047311262651,0.123530082006813,0.0311819015342163
"Bio6",-50.1997714765144,0.127558684211877,0.0314369854695321
"Bio6",-49.2948118267637,0.131703961836848,0.0316835452178276
"Bio6",-48.3898521770131,0.135952665657054,0.0319404406580624
"Bio6",-47.4848925272624,0.140308811496305,0.0322049865331449
"Bio6",-46.5799328775117,0.144785742957283,0.0324632587003145
"Bio6",-45.674973227761,0.149385357145788,0.0327153896332677
"Bio6",-44.7700135780103,0.153969159726359,0.032766298304824
"Bio6",-43.8650539282596,0.158637710112195,0.032744899740752
"Bio6",-42.960094278509,0.163426464872482,0.0326964833343647
"Bio6",-42.0551346287583,0.168336955629273,0.03262017279851
"Bio6",-41.1501749790076,0.173370621650908,0.0325151298859302
"Bio6",-40.2452153292569,0.178528801244089,0.0323805618284117
"Bio6",-39.3402556795062,0.183812722926904,0.0322157294295616
"Bio6",-38.4352960297556,0.189223496411846,0.0320199558706298
"Bio6",-37.5303363800049,0.194762103431987,0.0317926362995115
"Bio6",-36.6253767302542,0.200429388447645,0.0315332482865459
"Bio6",-35.7204170805035,0.206226049275206,0.0312413632476549
"Bio6",-34.8154574307528,0.212158389555767,0.0309210768780582
"Bio6",-33.9104977810022,0.218291322720589,0.0306202919883272
"Bio6",-33.0055381312515,0.224557135612598,0.0302854490400187
"Bio6",-32.1005784815008,0.230955824881625,0.0299162401346792
"Bio6",-31.1956188317501,0.237487384453393,0.0295122118486752
"Bio6",-30.2906591819994,0.244151233377512,0.0290735294629525
