"algo","mean","sd","weight"
"CTA",0.69,0.0522008939897904,0.149158954266027
"GBM",0.6601875,0.00722236110977567,0.142714314665946
"GLM",0.5568125,0.00492908037399808,0.120367493075728
"MARS",0.455625,0.0481108095961812,0.0984935486050125
"MAXENT",0.391,NA,0.0845234074174154
"MAXNET",0.574875,0.00221735578260835,0.124272107005337
"RF",0.653375,0.00570233870150368,0.141241640208066
"XGBOOST",0.6440625,0.0710159313112206,0.139228534756468
