"algo","mean","sd","weight"
"CTA",0.86,0.0491107591742041,0.133153988329672
"GBM",0.9056875,0.00254869247523771,0.140227793959686
"GLM",0.68475,0.00490577890519603,0.106019992452027
"MARS",0.73275,0.0182628949877432,0.11345184296345
"MAXENT",0.697,NA,0.10791666263463
"MAXNET",0.7901875,0.00893844691953437,0.122344903666573
"RF",0.9136875,0.00311381331061022,0.14146643571159
"XGBOOST",0.874625,0.0576875203141893,0.135418380282372
