"expl.var","w.varimp"
"Bio12",0.028248984538518
"Bio13",0.00844322886133529
"Bio15",0.00488074668378577
"Bio18",0.0506672356082172
"Bio19",0.0116421614996332
"Bio2",0.0558815382303742
"Bio3",0.0565065243272194
"Bio4",0.263026031084373
"Bio5",0.0796306531460015
"Bio6",0.579295515580337
"Bio8",0.00647617947615554
