"Longitude","Latitude","presence"
143.958333333333,-6.29166666666666,1
144.958333333333,-6.04166666666666,1
145.125,-5.79166666666666,1
144.041666666667,-5.79166666666666,1
147.291666666667,-8.54166666666666,1
146.958333333333,-7.45833333333333,1
144.291666666667,-6.04166666666666,1
145.041666666667,-5.79166666666666,1
141.208333333333,-5.04166666666666,1
148.458333333333,-9.29166666666666,1
147.291666666667,-6.29166666666666,1
143.625,-5.70833333333333,1
145.541666666667,-6.70833333333333,1
145.458333333333,-5.95833333333333,1
146.708333333333,-7.29166666666666,1
145.291666666667,-6.04166666666666,1
143.291666666667,-5.95833333333333,1
140.875,-4.79166666666666,1
143.708333333333,-5.45833333333333,1
143.208333333333,-5.45833333333333,1
143.625,-5.45833333333333,1
143.541666666667,-5.625,1
143.541666666667,-6.625,1
143.541666666667,-5.70833333333333,1
149.291666666667,-9.79166666666666,1
143.708333333333,-5.54166666666666,1
134.208333333333,-1.54166666666666,1
132.958333333333,-0.791666666666657,1
143.625,-9.04166666666666,1
133.958333333333,-1.375,1
136.375,-3.95833333333333,1
143.791666666667,-6.04166666666666,1
144.041666666667,-5.95833333333333,1
144.458333333333,-5.875,1
145.291666666667,-5.95833333333333,1
145.125,-6.125,1
145.875,-6.375,1
144.291666666667,-5.79166666666666,1
144.708333333333,-6.04166666666666,1
145.208333333333,-6.04166666666666,1
145.125,-5.875,1
145.041666666667,-5.875,1
145.041666666667,-6.45833333333333,1
152.708333333333,-3.04166666666666,1
141.125,-5.04166666666666,1
142.041666666667,-4.70833333333333,1
145.958333333333,-6.70833333333333,1
133.041666666667,-0.791666666666657,1
146.041666666667,-6.79166666666666,1
143.541666666667,-5.54166666666666,1
144.041666666667,-6.29166666666666,1
145.958333333333,-6.29166666666666,1
142.708333333333,-5.20833333333333,1
145.291666666667,-6.125,1
147.041666666667,-7.04166666666666,1
146.875,-7.625,1
147.541666666667,-8.95833333333333,1
143.875,-5.95833333333333,1
145.041666666667,-5.95833333333333,1
147.375,-8.54166666666666,1
147.458333333333,-8.375,1
143.791666666667,-6.125,1
143.208333333333,-5.95833333333333,1
146.708333333333,-6.29166666666666,1
147.208333333333,-8.54166666666666,1
146.791666666667,-7.375,1
140.291666666667,-3.70833333333333,1
138.708333333333,-4.125,1
145.458333333333,-6.04166666666666,1
147.791666666667,-9.20833333333333,1
147.625,-8.95833333333333,1
143.958333333333,-6.125,1
147.041666666667,-8.04166666666666,1
147.375,-8.45833333333333,1
144.458333333333,-5.95833333333333,1
148.958333333333,-9.54166666666666,1
147.291666666667,-8.45833333333333,1
147.541666666667,-6.45833333333333,1
146.708333333333,-7.54166666666666,1
147.208333333333,-8.20833333333333,1
138.708333333333,-4.20833333333333,1
138.541666666667,-4.04166666666666,1
145.125,-2.79166666666666,1
146.458333333333,-7.20833333333333,1
153.041666666667,-4.20833333333333,1
147.208333333333,-7.875,1
153.041666666667,-4.45833333333333,1
150.791666666667,-9.45833333333333,1
145.375,-6.04166666666666,1
144.291666666667,-5.875,1
145.708333333333,-6.625,1
145.125,-6.04166666666666,1
142.541666666667,-5.375,1
147.041666666667,-7.20833333333333,1
144.791666666667,-5.79166666666666,1
146.708333333333,-7.20833333333333,1
148.291666666667,-5.625,1
146.958333333333,-7.29166666666666,1
136.041666666667,-3.04166666666666,1
146.708333333333,-7.375,1
147.291666666667,-6.45833333333333,1
143.208333333333,-6.04166666666666,1
147.541666666667,-8.875,1
144.291666666667,-5.45833333333333,1
146.791666666667,-7.70833333333333,1
146.791666666667,-7.29166666666666,1
143.125,-5.95833333333333,1
147.375,-8.375,1
146.541666666667,-7.45833333333333,1
145.291666666667,-5.875,1
146.791666666667,-6.79166666666666,1
144.791666666667,-5.95833333333333,1
144.291666666667,-5.95833333333333,1
146.208333333333,-5.79166666666666,1
149.708333333333,-10.0416666666667,1
145.625,-6.29166666666666,1
143.458333333333,-5.45833333333333,1
143.708333333333,-6.125,1
148.958333333333,-9.70833333333333,1
133.875,-1.375,1
149.541666666667,-10.0416666666667,1
138.791666666667,-2.70833333333333,1
143.708333333333,-6.29166666666666,1
143.375,-5.95833333333333,1
149.958333333333,-5.70833333333333,1
147.458333333333,-8.29166666666666,1
141.208333333333,-4.95833333333333,1
145.291666666667,-5.79166666666666,1
143.958333333333,-6.04166666666666,1
143.541666666667,-5.95833333333333,1
143.125,-5.875,1
143.958333333333,-5.95833333333333,1
143.541666666667,-5.45833333333333,1
137.208333333333,-4.04166666666666,1
143.791666666667,-5.95833333333333,1
145.708333333333,-6.54166666666666,1
140.625,-2.54166666666666,1
145.125,-5.95833333333333,1
143.958333333333,-5.45833333333333,1
147.791666666667,-9.125,1
146.041666666667,-7.20833333333333,1
133.041666666667,-0.708333333333329,1
149.041666666667,-9.79166666666666,1
141.041666666667,-5.04166666666666,1
148.375,-9.20833333333333,1
145.041666666667,-6.04166666666666,1
147.291666666667,-6.54166666666666,1
146.125,-7.29166666666666,1
147.208333333333,-8.125,1
147.625,-9.125,1
150.458333333333,-10.2916666666667,1
146.208333333333,-7.375,1
147.208333333333,-6.29166666666666,1
133.291666666667,-0.791666666666657,1
149.041666666667,-9.625,1
144.791666666667,-5.875,1
144.791666666667,-6.29166666666666,1
144.041666666667,-5.70833333333333,1
147.791666666667,-6.45833333333333,1
132.541666666667,-1.79166666666666,1
171.291666666667,-43.875,1
174.708333333333,-36.7916666666667,1
174.708333333333,-36.625,1
175.541666666667,-38.5416666666667,1
178.041666666667,-37.7083333333333,1
173.375,-35.0416666666667,1
175.625,-40.375,1
173.041666666667,-41.375,1
175.375,-39.2083333333333,1
174.541666666667,-36.125,1
175.291666666667,-37.9583333333333,1
175.041666666667,-40.875,1
175.291666666667,-37.7916666666667,1
173.125,-41.375,1
171.375,-42.0416666666667,1
171.291666666667,-42.125,1
172.541666666667,-43.5416666666667,1
174.791666666667,-36.7916666666667,1
175.625,-38.4583333333333,1
169.125,-43.7916666666667,1
170.208333333333,-43.375,1
172.708333333333,-40.7916666666667,1
173.375,-41.2916666666667,1
174.958333333333,-36.875,1
175.708333333333,-39.875,1
175.458333333333,-39.375,1
168.375,-45.875,1
173.625,-35.7083333333333,1
172.458333333333,-43.7083333333333,1
168.458333333333,-46.4583333333333,1
175.458333333333,-37.0416666666667,1
174.875,-37.2916666666667,1
175.208333333333,-40.7083333333333,1
175.208333333333,-41.0416666666667,1
172.625,-43.5416666666667,1
167.625,-45.4583333333333,1
175.875,-37.5416666666667,1
174.791666666667,-41.125,1
170.291666666667,-43.125,1
172.625,-41.7916666666667,1
176.291666666667,-38.125,1
175.875,-38.9583333333333,1
175.208333333333,-40.875,1
171.208333333333,-43.9583333333333,1
174.791666666667,-41.2916666666667,1
174.541666666667,-36.0416666666667,1
170.208333333333,-46.0416666666667,1
171.541666666667,-42.625,1
175.125,-38.5416666666667,1
174.708333333333,-39.2083333333333,1
170.541666666667,-45.875,1
175.541666666667,-39.9583333333333,1
174.958333333333,-40.9583333333333,1
176.375,-38.2083333333333,1
167.875,-46.375,1
169.208333333333,-44.2083333333333,1
109.958333333333,-7.375,1
174.458333333333,-35.4583333333333,1
174.625,-36.9583333333333,1
167.708333333333,-45.9583333333333,1
174.875,-37.2083333333333,1
172.708333333333,-43.4583333333333,1
174.875,-37.9583333333333,1
175.041666666667,-36.9583333333333,1
173.291666666667,-41.2916666666667,1
174.791666666667,-41.2083333333333,1
174.625,-39.2916666666667,1
171.458333333333,-42.125,1
172.791666666667,-40.875,1
172.375,-41.7916666666667,1
177.125,-38.0416666666667,1
175.375,-41.125,1
175.458333333333,-40.9583333333333,1
174.875,-37.875,1
175.708333333333,-38.125,1
174.958333333333,-41.2083333333333,1
172.708333333333,-43.7916666666667,1
108.291666666667,-7.20833333333333,1
175.291666666667,-41.125,1
175.708333333333,-37.4583333333333,1
176.125,-37.7083333333333,1
172.875,-43.7083333333333,1
173.791666666667,-35.2083333333333,1
175.375,-38.9583333333333,1
173.541666666667,-35.625,1
175.791666666667,-39.875,1
174.875,-36.875,1
175.708333333333,-37.5416666666667,1
174.708333333333,-36.5416666666667,1
167.625,-45.5416666666667,1
175.875,-39.7083333333333,1
174.458333333333,-35.625,1
174.708333333333,-36.9583333333333,1
175.041666666667,-37.9583333333333,1
175.458333333333,-40.4583333333333,1
174.375,-39.4583333333333,1
174.875,-41.0416666666667,1
171.375,-42.125,1
174.958333333333,-39.2916666666667,1
175.458333333333,-39.875,1
174.791666666667,-36.9583333333333,1
170.958333333333,-45.0416666666667,1
171.708333333333,-42.7916666666667,1
173.958333333333,-41.2083333333333,1
177.791666666667,-37.7916666666667,1
168.875,-43.875,1
175.708333333333,-40.625,1
170.708333333333,-45.875,1
174.958333333333,-36.9583333333333,1
174.708333333333,-41.2083333333333,1
171.625,-42.7916666666667,1
176.291666666667,-38.0416666666667,1
174.708333333333,-41.2916666666667,1
175.375,-37.7916666666667,1
175.541666666667,-37.2083333333333,1
173.291666666667,-35.125,1
174.958333333333,-37.7083333333333,1
177.625,-37.875,1
172.791666666667,-43.7916666666667,1
175.541666666667,-38.4583333333333,1
169.458333333333,-46.5416666666667,1
173.958333333333,-41.2916666666667,1
175.208333333333,-37.875,1
175.125,-37.7083333333333,1
174.291666666667,-36.0416666666667,1
174.791666666667,-37.5416666666667,1
174.458333333333,-36.875,1
107.041666666667,-6.70833333333333,1
168.291666666667,-46.125,1
174.958333333333,-41.2916666666667,1
174.791666666667,-38.2916666666667,1
172.875,-41.375,1
172.875,-41.0416666666667,1
175.541666666667,-40.9583333333333,1
175.625,-41.0416666666667,1
176.791666666667,-39.875,1
170.958333333333,-44.625,1
174.375,-36.9583333333333,1
172.708333333333,-34.4583333333333,1
175.125,-37.0416666666667,1
175.208333333333,-41.2916666666667,1
173.208333333333,-35.125,1
174.458333333333,-36.9583333333333,1
176.791666666667,-39.9583333333333,1
173.958333333333,-39.375,1
170.958333333333,-44.125,1
172.791666666667,-34.5416666666667,1
172.708333333333,-40.7083333333333,1
173.458333333333,-41.2083333333333,1
174.958333333333,-41.125,1
174.875,-41.2916666666667,1
171.125,-42.625,1
172.958333333333,-41.4583333333333,1
173.708333333333,-41.4583333333333,1
175.125,-41.125,1
175.458333333333,-37.9583333333333,1
174.375,-35.875,1
174.875,-36.625,1
175.958333333333,-38.0416666666667,1
173.458333333333,-35.2916666666667,1
171.125,-42.875,1
175.208333333333,-37.7083333333333,1
168.708333333333,-44.0416666666667,1
174.375,-36.125,1
172.291666666667,-43.2083333333333,1
174.375,-36.2083333333333,1
172.958333333333,-41.2916666666667,1
175.041666666667,-41.125,1
175.041666666667,-39.9583333333333,1
174.708333333333,-36.7083333333333,1
174.708333333333,-36.875,1
172.625,-43.4583333333333,1
175.125,-37.7916666666667,1
176.541666666667,-38.0416666666667,1
172.708333333333,-43.7083333333333,1
173.375,-41.2083333333333,1
176.291666666667,-38.2083333333333,1
171.541666666667,-41.7083333333333,1
174.791666666667,-36.625,1
170.625,-45.7083333333333,1
173.958333333333,-35.2083333333333,1
168.041666666667,-44.375,1
125.125,-9.20833333333333,1
171.125,-42.5416666666667,1
175.625,-40.7083333333333,1
175.041666666667,-41.2916666666667,1
169.375,-46.5416666666667,1
173.041666666667,-43.7916666666667,1
175.458333333333,-37.875,1
171.208333333333,-44.125,1
175.125,-39.875,1
173.125,-41.4583333333333,1
171.375,-42.625,1
171.458333333333,-42.5416666666667,1
175.541666666667,-37.625,1
175.041666666667,-38.2916666666667,1
174.208333333333,-35.7083333333333,1
172.958333333333,-41.0416666666667,1
170.208333333333,-43.2916666666667,1
175.875,-37.875,1
175.125,-36.875,1
174.875,-41.375,1
176.041666666667,-38.7083333333333,1
174.375,-35.9583333333333,1
171.958333333333,-43.2916666666667,1
172.958333333333,-41.125,1
173.291666666667,-41.2083333333333,1
175.375,-39.4583333333333,1
172.375,-43.875,1
172.708333333333,-43.2916666666667,1
172.541666666667,-43.7083333333333,1
172.875,-41.2083333333333,1
174.291666666667,-35.7083333333333,1
